Date;Date;t = t(2)-t(1) Days;adult females without eggs in 1m3;adult females with eggs in 1m3;adult asexual females in 1m3;juveniles in 1m3;number of eggs in 1m3;Total non-sexual females;Eggs/female;Egg/female: corrected to live regession;Live Eggs/female*;r (day-1);mid-date;mid-date;r (day-1)                                        [repeated from M];D (days);b (day-1);d (day-1);r (day-1)                                        [repeated from M];D-t;D/t;data_state
03.04.00;36619;8;160.3;125.3;285.6;225.5;761.7;511.1;1.49;1.93;;0.175;36623;07.04.00;0.175;12.423;0.086;-0.089;0.175;4.42;1.55;Unreliable
11.04.00;36627;6;891.9;811.8;1703.7;370.8;6283.7;2074.5;3.03;3.91;;0.083;36630;14.04.00;0.083;10.826;0.147;0.064;0.083;4.83;1.8;Unreliable
17.04.00;36633;8;1787.2;1286.1;3073.3;334.1;9387.1;3407.4;2.75;3.56;;0.044;36637;21.04.00;0.044;9.183;0.165;0.121;0.044;1.18;1.15;Unreliable
25.04.00;36641;2;904.2;2556.7;3460.9;1403;21108.1;4863.9;4.34;5.61;;-0.644;36642;26.04.00;-0.644;7.677;0.246;0.89;-0.644;5.68;3.84;Unreliable
27.04.00;36643;7;62.4;311.8;374.1;966.5;3211.4;1340.7;2.4;3.09;;0.24;36646;30.04.00;0.24;6.97;0.202;-0.038;0.24;-0.03;1;Suspect
04.05.00;36650;7;545.6;1870.7;2416.4;4793.8;14654.1;7210.1;2.03;2.63;;0.087;36653;07.05.00;0.087;6.022;0.214;0.127;0.087;-0.98;0.86;Suspect
11.05.00;36657;4;1922.7;6443.6;8366.3;4884.7;38298;13251;2.89;3.73;;0.366;36659;13.05.00;0.366;5.418;0.287;-0.079;0.366;1.42;1.35;Suspect
15.05.00;36661;4;6547.6;7560.9;14108.4;43260.7;32348.1;57369.1;0.56;0.73;;-0.201;36663;17.05.00;-0.201;5.095;0.107;0.308;-0.201;1.09;1.27;Suspect
19.05.00;36665;6;4832.7;5404.3;10237.1;15433.5;17616.1;25670.6;0.69;0.89;;-0.087;36668;22.05.00;-0.087;4.761;0.133;0.22;-0.087;-1.24;0.79;
25.05.00;36671;6;3426.2;4494.5;7920.7;7294.4;12415.3;15215.1;0.82;1.05;;0.089;36674;28.05.00;0.089;4.445;0.162;0.073;0.089;-1.56;0.74;
31.05.00;36677;8;3315.6;7073.4;10389;15546.7;23578;25935.8;0.91;1.17;;-0.03;36681;04.06.00;-0.03;4.169;0.186;0.216;-0.03;-3.83;0.52;
08.06.00;36685;7;2652.5;6091;8743.5;11739.9;18125.6;20483.3;0.88;1.14;;0.05;36688;11.06.00;0.05;3.977;0.192;0.142;0.05;-3.02;0.57;
