"date" "taxon2" "biomass"
1998-01-05 "Chlorophytes" 2.62754
1998-01-05 "Chrysophytes" 2.2566
1998-01-05 "Cryptophytes" 1.962
1998-01-05 "Cyanobacteria" 19.557384
1998-01-05 "Diatoms (centric)" 1.9056
1998-01-05 "Diatoms (pennate)" 4.2707
1998-01-05 "Dinophytes" 0.392
1998-02-02 "Chlorophytes" 1.539608
1998-02-02 "Chrysophytes" 0.25044
1998-02-02 "Cryptophytes" 4.0706
1998-02-02 "Cyanobacteria" 4.5918
1998-02-02 "Diatoms (centric)" 3.794
1998-02-02 "Diatoms (pennate)" 3.17822
1998-02-02 "Dinophytes" 0.16604
1998-03-02 "Chlorophytes" 0.68012
1998-03-02 "Chrysophytes" 2.15308
1998-03-02 "Cryptophytes" 10.8296
1998-03-02 "Cyanobacteria" 0.904208
1998-03-02 "Diatoms (centric)" 81.73
1998-03-02 "Diatoms (pennate)" 33.4699
1998-03-02 "Dinophytes" 2.89936
1998-04-06 "Chlorophytes" 1.79338
1998-04-06 "Chrysophytes" 9.6737
1998-04-06 "Cryptophytes" 49.13
1998-04-06 "Cyanobacteria" 6.6568
1998-04-06 "Diatoms (centric)" 31.4114
1998-04-06 "Diatoms (pennate)" 3.354
1998-04-06 "Dinophytes" 13.616
1998-04-28 "Chlorophytes" 5.7864
1998-04-28 "Chrysophytes" 2.4032
1998-04-28 "Cryptophytes" 27.2456
1998-04-28 "Cyanobacteria" 5.538
1998-04-28 "Diatoms (centric)" 18.625
1998-04-28 "Diatoms (pennate)" 1.9173
1998-04-28 "Dinophytes" 4.21616
1998-05-25 "Chlorophytes" 8.46112
1998-05-25 "Chrysophytes" 2.3006
1998-05-25 "Cryptophytes" 9.5556
1998-05-25 "Cyanobacteria" 4.02
1998-05-25 "Diatoms (centric)" 6.6079
1998-05-25 "Diatoms (pennate)" 0.1697
1998-05-25 "Dinophytes" 1.2076
1998-06-22 "Chlorophytes" 28.84042
1998-06-22 "Chrysophytes" 1.60148
1998-06-22 "Cryptophytes" 13.048
1998-06-22 "Cyanobacteria" 1.4048
1998-06-22 "Diatoms (centric)" 0.104
1998-06-22 "Dinophytes" 1.6272
1998-07-21 "Chlorophytes" 29.57628
1998-07-21 "Chrysophytes" 4.25
1998-07-21 "Cryptophytes" 7.206
1998-07-21 "Cyanobacteria" 1.89736
1998-07-21 "Diatoms (centric)" 0.57864
1998-07-21 "Diatoms (pennate)" 2.2516
1998-07-21 "Dinophytes" 1.0786
1998-08-18 "Chlorophytes" 15.9133
1998-08-18 "Chrysophytes" 1.1014
1998-08-18 "Cryptophytes" 23.8488
1998-08-18 "Cyanobacteria" 32.84
1998-08-18 "Diatoms (centric)" 8.64
1998-08-18 "Diatoms (pennate)" 10.6582
1998-08-18 "Dinophytes" 3.42604
1998-09-14 "Chlorophytes" 22.25422
1998-09-14 "Chrysophytes" 3.8824
1998-09-14 "Cryptophytes" 6.294
1998-09-14 "Cyanobacteria" 4.106
1998-09-14 "Diatoms (centric)" 0.6258
1998-09-14 "Diatoms (pennate)" 0.78132
1998-09-14 "Dinophytes" 2.9068
1998-10-14 "Chlorophytes" 5.45946
1998-10-14 "Chrysophytes" 5.7512
1998-10-14 "Cryptophytes" 1.657
1998-10-14 "Cyanobacteria" 9.0694
1998-10-14 "Diatoms (centric)" 0.1404
1998-10-14 "Diatoms (pennate)" 0.1466
1998-10-14 "Dinophytes" 0.613
1998-11-09 "Chlorophytes" 1.70298
1998-11-09 "Chrysophytes" 0.3594
1998-11-09 "Cryptophytes" 5.5154
1998-11-09 "Cyanobacteria" 2.362
1998-11-09 "Diatoms (centric)" 0.0441
1998-11-09 "Diatoms (pennate)" 1.6342
1998-11-09 "Dinophytes" 3.902
1998-12-07 "Chlorophytes" 2.30914
1998-12-07 "Chrysophytes" 2.6572
1998-12-07 "Cryptophytes" 5.048
1998-12-07 "Cyanobacteria" 0.240608
1998-12-07 "Diatoms (centric)" 0.0069
1998-12-07 "Diatoms (pennate)" 0.135
1998-12-07 "Dinophytes" 0.36976
1999-01-04 "Chlorophytes" 0.24695
1999-01-04 "Chrysophytes" 2.47324
1999-01-04 "Cryptophytes" 14.3014
1999-01-04 "Cyanobacteria" 0.0966
1999-01-04 "Diatoms (centric)" 0.145
1999-01-04 "Diatoms (pennate)" 0.25402
1999-01-04 "Dinophytes" 0.3956
1999-02-03 "Chlorophytes" 0.56904
1999-02-03 "Chrysophytes" 3.5572
1999-02-03 "Cryptophytes" 19.6736
1999-02-03 "Cyanobacteria" 1.698
1999-02-03 "Diatoms (centric)" 0.148
1999-02-03 "Diatoms (pennate)" 0.9182
1999-02-03 "Dinophytes" 0.972
1999-03-01 "Chlorophytes" 1.41178
1999-03-01 "Chrysophytes" 5.3258
1999-03-01 "Cryptophytes" 23.3052
1999-03-01 "Cyanobacteria" 0.052
1999-03-01 "Diatoms (centric)" 1.7004
1999-03-01 "Diatoms (pennate)" 1.85336
1999-03-01 "Dinophytes" 2.704
1999-03-29 "Chlorophytes" 5.0434
1999-03-29 "Chrysophytes" 7.97252
1999-03-29 "Cryptophytes" 18.972
1999-03-29 "Cyanobacteria" 13.132
1999-03-29 "Diatoms (centric)" 2.784
1999-03-29 "Diatoms (pennate)" 4.54
1999-03-29 "Dinophytes" 8.6792
1999-04-26 "Chlorophytes" 3.84954
1999-04-26 "Chrysophytes" 1.73436
1999-04-26 "Cryptophytes" 7.029
1999-04-26 "Cyanobacteria" 1.281
1999-04-26 "Diatoms (centric)" 4.723
1999-04-26 "Diatoms (pennate)" 20.724
1999-04-26 "Dinophytes" 2.62272
1999-05-25 "Chlorophytes" 0.892
1999-05-25 "Chrysophytes" 2.0871
1999-05-25 "Cryptophytes" 5.5224
1999-05-25 "Cyanobacteria" 0.698
1999-05-25 "Diatoms (centric)" 0.3296
1999-05-25 "Diatoms (pennate)" 0.06016
1999-05-25 "Dinophytes" 1.08
1999-06-21 "Chlorophytes" 5.16332
1999-06-21 "Chrysophytes" 2.2178
1999-06-21 "Cryptophytes" 8.0096
1999-06-21 "Cyanobacteria" 10.6387
1999-06-21 "Diatoms (centric)" 1.8923
1999-06-21 "Diatoms (pennate)" 12.697148
1999-06-21 "Dinophytes" 0.89732
1999-07-19 "Chlorophytes" 5.03588
1999-07-19 "Chrysophytes" 8.5112
1999-07-19 "Cryptophytes" 14.572
1999-07-19 "Cyanobacteria" 1.45616
1999-07-19 "Diatoms (centric)" 0.467
1999-07-19 "Diatoms (pennate)" 11.4555
1999-07-19 "Dinophytes" 1.7704
1999-08-16 "Chlorophytes" 6.27572
1999-08-16 "Chrysophytes" 0.5032
1999-08-16 "Cryptophytes" 8
1999-08-16 "Cyanobacteria" 2.1471
1999-08-16 "Diatoms (centric)" 0.768
1999-08-16 "Diatoms (pennate)" 3.3464
1999-08-16 "Dinophytes" 0.7222
1999-09-06 "Chlorophytes" 3.63172
1999-09-06 "Chrysophytes" 6.11046
1999-09-06 "Cryptophytes" 9.348
1999-09-06 "Cyanobacteria" 7.812
1999-09-06 "Diatoms (centric)" 2.6673
1999-09-06 "Diatoms (pennate)" 13.29888
1999-09-06 "Dinophytes" 2.77208
1999-09-29 "Chlorophytes" 5.81054
1999-09-29 "Chrysophytes" 18.9278
1999-09-29 "Cryptophytes" 5.0848
1999-09-29 "Cyanobacteria" 12.9854
1999-09-29 "Diatoms (centric)" 2.8998
1999-09-29 "Diatoms (pennate)" 2.168
1999-09-29 "Dinophytes" 0.8344
1999-10-07 "Chlorophytes" 2.79422
1999-10-07 "Chrysophytes" 9.9426
1999-10-07 "Cryptophytes" 2.7534
1999-10-07 "Cyanobacteria" 7.3077
1999-10-07 "Diatoms (centric)" 0.419
1999-10-07 "Diatoms (pennate)" 4.91592
1999-10-07 "Dinophytes" 0.4248
1999-11-08 "Chlorophytes" 3.60936
1999-11-08 "Chrysophytes" 5.5852
1999-11-08 "Cryptophytes" 5.4976
1999-11-08 "Cyanobacteria" 8.40536
1999-11-08 "Diatoms (centric)" 1.3
1999-11-08 "Diatoms (pennate)" 3.475
1999-11-08 "Dinophytes" 0.12668
1999-12-06 "Chlorophytes" 3.39688
1999-12-06 "Chrysophytes" 1.03944
1999-12-06 "Cryptophytes" 6.08
1999-12-06 "Cyanobacteria" 2.6261
1999-12-06 "Diatoms (centric)" 1.0203
1999-12-06 "Diatoms (pennate)" 2.575
1999-12-06 "Dinophytes" 0.0922
2000-02-22 "Chlorophytes" 0.23768
