date;Bpgal;Bphyl;F1;F2;Pgal;Phyl
1998-02-02;26;13;150;0;15;0
1998-03-02;18;11;97;0;29;0
1998-04-06;22;11;72;0;15;0
1998-05-07;18;13;206;0;28;0
1998-05-08;1;0;36;0;0;0
1998-05-10;0;0;6;0;0;0
1998-05-12;1;0;56;0;0;0
1998-05-14;64;20;475;1;18;0
1998-05-25;23;32;137;0;15;1
1998-05-28;45;29;214;0;8;1
1998-06-04;26;20;150;0;3;1
1998-06-10;40;18;406;0;1;0
1998-06-15;114;39;701;2;21;1
1998-06-22;12;0;196;0;0;0
1998-07-15;41;19;472;1;7;1
1998-07-29;8;9;155;0;3;0
1998-08-14;12;4;102;0;0;0
1998-09-14;5;4;43;0;0;0
1998-09-30;23;4;82;3;0;0
1998-10-12;13;9;71;0;0;0
1998-10-27;7;12;68;1;0;0
1998-11-15;39;16;164;4;1;1
1998-12-07;11;12;66;1;0;1
1999-01-04;8;1;39;0;0;0
1999-02-03;3;0;25;0;0;0
1999-03-01;4;1;83;0;0;1
1999-03-24;6;1;60;1;1;1
1999-03-29;0;2;39;0;0;0
1999-04-26;21;2;60;0;3;0
1999-05-11;1;0;27;0;0;0
1999-05-25;11;3;83;0;1;0
1999-07-19;7;9;87;0;0;0
1999-09-06;24;8;72;1;1;0
1999-10-07;0;2;11;0;0;0
1999-11-08;7;3;37;0;1;3
1999-12-06;18;8;70;2;0;2
2000-02-21;8;2;95;0;2;0
2000-03-20;25;3;67;4;1;1
2000-04-03;23;2;46;5;1;0
2000-04-11;14;8;111;0;0;0
2000-04-17;10;3;97;1;1;1
2000-04-25;16;3;105;1;1;1
2000-05-11;25;3;75;1;1;0
2000-05-15;19;2;67;1;0;1
2000-05-19;27;3;89;2;2;0
2000-05-25;26;3;95;5;2;2
2000-06-15;6;2;72;0;0;0
2000-06-29;2;0;26;0;0;0
2000-07-27;17;4;94;0;4;0
2000-08-02;22;11;82;1;5;1
2000-08-10;3;5;16;0;0;0
2000-08-17;32;15;139;5;19;1
2000-08-24;20;4;58;0;10;0
2000-08-30;2;1;9;0;1;0
2000-09-14;35;14;96;3;2;0
2000-09-28;5;8;46;1;0;0
2000-10-05;7;3;67;0;0;0
2000-11-17;8;16;82;5;1;0
2000-12-07;15;5;60;3;1;3
2000-12-13;1;5;14;0;0;0
2000-12-21;22;10;84;0;0;0
2000-12-30;3;4;9;0;0;3
2001-01-05;4;6;38;2;1;1
2001-02-07;16;16;76;3;1;3
2001-03-20;19;12;73;1;10;0
2001-04-03;19;25;71;1;1;0
2001-04-09;24;5;86;3;1;0
2001-05-15;39;4;58;6;9;2
2001-06-12;12;4;8;1;5;1
2001-06-19;6;15;77;1;10;5
2001-07-03;19;3;68;1;23;0
2001-07-24;16;3;34;0;18;0
2001-08-14;13;5;91;0;18;1
2001-08-21;14;5;69;1;32;1
2001-09-12;16;4;88;2;4;1
2001-09-18;10;5;69;2;25;1
2001-09-25;9;3;88;0;18;0
2001-10-15;13;0;82;1;19;0
2001-10-22;13;2;80;0;18;0
2001-11-26;14;0;88;0;9;0
2002-01-22;21;0;52;0;35;0
2002-02-19;14;0;25;0;76;0
2002-04-09;13;1;25;1;77;0
2002-04-22;12;0;14;0;79;0
2002-04-29;12;1;31;0;47;0
2002-05-15;9;0;31;1;65;0
2002-05-21;15;1;61;0;31;0
2002-05-27;17;1;78;1;12;0
2002-06-03;13;2;69;0;25;0
2002-06-18;5;0;27;0;1;0
2002-07-02;31;1;68;0;8;1
2002-07-08;46;1;66;0;3;0
2002-07-30;15;0;7;0;3;0
2002-08-06;11;1;38;0;5;0
2002-08-16;4;0;9;1;1;0
2002-08-29;21;5;16;2;6;0
2002-09-03;25;4;15;0;6;0
2002-09-11;14;2;14;1;0;1
2002-09-19;18;9;34;2;1;0
2002-09-26;17;4;27;0;3;0
2002-10-01;24;8;41;5;3;0
2002-10-08;14;5;44;1;1;0
2002-10-24;17;6;28;0;3;0
2002-11-07;9;9;47;0;1;0
2002-11-21;4;6;17;0;1;0
2002-12-03;20;9;31;5;0;0
2003-01-09;9;2;27;2;1;1
2003-02-11;8;1;22;2;1;0
2003-03-07;25;1;36;1;4;0
2003-03-13;48;1;38;0;3;0
2003-03-20;24;4;68;1;6;1
2003-03-24;14;0;39;1;4;0
2003-04-03;39;2;46;0;6;2
2003-04-14;27;2;43;0;2;0
2003-05-02;13;1;26;0;0;0
2003-05-06;9;3;20;0;2;0
2003-05-12;15;0;57;5;0;1
2003-05-20;26;2;43;2;2;0
2003-05-27;25;4;40;0;3;0
2003-06-03;34;6;45;0;2;0
2003-06-17;22;1;44;0;3;0
2003-06-30;40;1;29;1;5;0
2003-07-15;39;1;20;1;10;0
2003-07-25;34;2;22;0;13;0
2003-08-05;19;0;33;0;19;0
2003-08-12;15;1;39;0;11;0
2003-08-25;7;0;24;0;3;0
2003-09-01;3;8;26;4;4;0
2003-09-09;13;2;38;0;8;0
2003-09-26;10;10;28;5;7;0
2003-10-10;19;8;24;5;20;0
