X10_14	Dp512	SwiD1	SwiD10	SwiD12	SwiD14	SwiD15	SwiD2	SwiD4	SwiD5	mlg	smp	pop	1	2	num_missing
000/000	000/000	132/141	190/190	122/129	188/190	088/105	000/000	000/000	144/144	1	NT_Gr4641_26	2013-08-29	4641	Random	4
000/000	000/000	132/141	190/205	122/129	188/190	088/105	000/000	192/192	144/172	62	NT_Gr4641_14	2013-08-29	4641	Random	3
000/000	000/000	132/141	190/205	122/129	188/190	088/105	000/000	192/211	144/172	64	NT_Gr4641_21	2013-08-29	4641	Random	3
000/000	000/000	132/141	190/205	122/129	188/190	088/105	000/000	192/211	144/172	64	NT_Gr4641_6	2013-08-29	4641	Random	3
000/000	000/000	132/143	198/205	122/129	188/190	088/105	000/000	000/000	135/160	5	4622_91	2013-05-14	4622	Random	4
000/000	000/000	132/143	198/205	122/129	188/190	088/105	000/000	179/179	135/160	5	NT_Gr4641_35	2013-08-29	4641	Random	3
000/000	131/131	000/000	000/000	122/122	192/192	088/105	000/000	189/189	135/135	6	NT_Gr4640_60	2013-08-29	4640	Infected	4
000/000	131/131	000/000	189/189	129/129	000/000	088/105	178/178	000/000	135/135	7	NT_Gr4637_54	2013-08-29	4637	Infected	4
000/000	131/131	132/132	190/190	118/118	188/188	088/088	200/200	189/189	144/144	8	4053_12	2007-11-05	4053	Random	1
000/000	131/131	141/141	000/000	118/122	186/190	088/105	178/178	000/000	135/135	9	4010_41	2007-09-11	4010	Random	3
000/000	131/131	141/141	189/189	122/129	192/192	088/105	178/178	179/189	135/135	10	NT_4638_51	2013-08-29	4638	Infected	1
000/000	131/136	124/124	191/191	118/122	000/000	082/100	000/000	000/000	144/170	11	4577_19	2012-06-20	4577	Random	4
000/000	131/136	141/141	000/000	118/122	186/188	088/101	000/000	176/176	135/144	12	4011_1	2007-09-11	4011	Random	3
000/000	131/139	124/124	191/205	122/129	188/190	082/104	174/174	187/189	144/170	13	4599_6	2012-09-20	4599	Random	1
000/000	131/139	141/141	000/000	122/129	000/000	088/105	000/000	179/189	135/135	659	NT_4638_43	2013-08-29	4638	Infected	4
000/000	131/139	141/141	000/000	122/129	192/192	088/105	000/000	000/000	135/135	111	4632_14	2013-08-21	4632	Random	4
000/000	131/139	141/141	000/000	122/129	192/192	088/105	000/000	179/179	135/135	111	NT_4638_74	2013-08-29	4638	Infected	3
000/000	131/139	141/141	189/198	122/129	192/192	088/105	178/178	000/000	135/135	111	4624_14	2013-06-17	4624	Random	2
000/000	131/139	141/141	198/198	122/129	192/192	088/105	178/178	179/189	135/135	18	NT_4638_46	2013-08-29	4638	Infected	1
000/000	131/143	132/141	190/208	118/122	188/190	088/100	000/000	189/192	144/170	19	4666_52	2006-08-08	4666	Random	2
000/000	131/143	132/141	190/208	118/122	188/190	088/101	200/200	189/192	144/170	20	4011_29	2007-09-11	4011	Random	1
000/000	131/143	141/141	190/190	118/122	000/000	088/100	000/000	000/000	144/144	21	4666_63	2006-08-08	4666	Random	4
000/000	131/143	141/145	190/208	118/122	188/190	088/100	000/000	189/192	144/170	22	4666_26	2006-08-08	4666	Random	2
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	000/000	22	4010_20	2007-09-11	4010	Random	2
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4036_1	2007-10-10	4036	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4163_14	2008-07-29	4163	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4237_13	2008-11-03	4237	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4238_13	2008-11-03	4238	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4301_19	2009-07-16	4301	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4303_19	2009-07-16	4303	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4304_8	2009-07-16	4304	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4344_7	2009-11-05	4344	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4470_5	2011-08-11	4470	Random	1
000/000	131/143	141/145	190/208	118/122	188/190	088/101	200/200	189/192	144/170	22	4472_15	2011-08-11	4472	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4142_01	2008-06-19	4142	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4142_11	2008-06-19	4142	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4143_22	2008-06-19	4143	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4257_07	2009-03-02	4257	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4257_08	2009-03-02	4257	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4257_17	2009-03-02	4257	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4257_18	2009-03-02	4257	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4258_11	2009-03-02	4258	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4285_20	2009-06-03	4285	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4286_20	2009-06-03	4286	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4287_24	2009-06-03	4287	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4288_14	2009-06-03	4288	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4325_08	2009-09-08	4325	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4325_11	2009-09-08	4325	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4350_19	2009-12-10	4350	Random	1
000/000	131/143	141/145	190/209	118/122	188/190	082/095	200/200	189/192	144/170	25	Gr_4378_03	2010-06-15	4378	Random	1
000/000	131/144	124/154	190/205	122/129	188/192	000/000	174/174	189/198	144/170	851	Gr_4073_11	2007-12-18	4073	Random	2
000/000	131/144	132/132	191/191	118/122	188/190	088/101	000/000	000/000	000/000	27	NT_Gr4640_3	2013-08-29	4640	Random	4
000/000	136/136	000/000	190/190	118/118	188/188	088/088	000/000	000/000	135/135	31	4041_15	2007-10-10	4041	Infected	4
000/000	136/136	000/000	198/198	122/129	188/188	000/000	178/178	179/179	135/135	29	Gr_4390_08	2010-08-10	4390	Infected	3
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	000/000	135/135	31	4041_7	2007-10-10	4041	Infected	2
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	000/000	135/135	31	4053_24	2007-11-05	4053	Random	2
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4040_15	2007-10-10	4040	Infected	1
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4040_4	2007-10-10	4040	Infected	1
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4050_23	2007-11-05	4050	Random	1
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4050_24	2007-11-05	4050	Random	1
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4051_7	2007-11-05	4051	Random	1
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4053_11	2007-11-05	4053	Random	1
000/000	136/136	132/132	190/190	118/118	188/188	088/088	178/178	189/189	135/135	31	4053_18	2007-11-05	4053	Random	1
000/000	136/136	132/132	198/198	122/122	188/188	082/082	188/188	179/179	135/135	32	Gr_4384_24	2010-08-10	4384	Random	1
000/000	136/136	132/132	198/198	122/122	188/188	082/082	188/188	179/179	135/135	32	Gr_4385_05	2010-08-10	4385	Random	1
000/000	136/136	132/132	198/198	122/122	188/188	082/082	188/188	179/179	135/135	32	Gr_4385_10	2010-08-10	4385	Random	1
