"date";"cuc";"gal";"gxl";"lon";"NA"
"2006-08-08";0;19;36;0;6
"2007-09-11";0;31;41;0;4
"2007-09-20";2;3;13;0;0
"2007-10-10";0;25;35;0;1
"2007-11-05";0;24;54;0;0
"2007-12-18";0;26;50;0;1
"2008-03-27";0;24;14;0;2
"2008-06-19";0;23;46;0;2
"2008-07-29";0;34;20;0;6
"2008-09-09";0;11;27;0;0
"2008-11-03";0;46;29;0;5
"2008-12-10";0;16;61;0;1
"2009-03-02";0;21;53;0;0
"2009-06-03";0;15;61;0;1
"2009-07-16";0;28;28;0;23
"2009-09-08";0;0;37;1;0
"2009-11-05";0;19;52;0;9
"2009-12-10";0;13;62;0;0
"2010-03-10";0;12;60;1;3
"2010-05-07";0;12;61;0;6
"2010-06-15";0;10;68;1;1
"2010-08-10";0;16;130;1;2
"2010-09-07";0;8;67;0;1
"2010-10-13";0;30;36;0;13
"2010-12-07";0;10;64;0;2
"2011-03-07";0;26;52;0;1
"2011-06-16";0;40;39;0;1
"2011-08-11";0;72;47;0;41
"2011-09-13";0;31;120;0;5
"2011-10-27";0;71;78;0;8
"2011-12-08";0;28;13;0;0
"2012-06-20";0;13;18;6;6
"2012-08-14";0;20;37;0;1
"2012-09-06";0;24;41;0;2
"2012-09-20";0;13;14;0;3
"2013-05-14";0;40;18;0;1
"2013-06-17";0;52;19;0;5
"2013-07-16";0;49;22;0;3
"2013-08-21";0;56;28;0;2
"2013-08-29";0;16;38;0;0
"2013-09-17";0;53;37;0;1
"2013-10-17";0;77;14;0;1
"2013-11-07";0;60;26;0;0
"2013-12-09";0;63;23;0;1
