depth;date;year;temp
0;06.05.1942;1942;11.4
2.5;06.05.1942;1942;10.7
5;06.05.1942;1942;8.7
7.5;06.05.1942;1942;8.6
10;06.05.1942;1942;8.8
15;06.05.1942;1942;8.6
20;06.05.1942;1942;8.4
25;06.05.1942;1942;5.5
0;14.10.1942;1942;16.4
2.5;14.10.1942;1942;16
5;14.10.1942;1942;16
7.5;14.10.1942;1942;15.8
10;14.10.1942;1942;9.6
15;14.10.1942;1942;7
20;14.10.1942;1942;6.6
25;14.10.1942;1942;6
30;14.10.1942;1942;5.2
0;09.09.1947;1947;20.1
2.5;09.09.1947;1947;20.2
5;09.09.1947;1947;20.2
7.5;09.09.1947;1947;15.1
10;09.09.1947;1947;9.7
12.5;09.09.1947;1947;8.5
15;09.09.1947;1947;7.3
20;09.09.1947;1947;6.8
25;09.09.1947;1947;6.5
30;09.09.1947;1947;6.2
0;24.06.1948;1948;17.4
2.5;24.06.1948;1948;17.5
5;24.06.1948;1948;17.5
7.5;24.06.1948;1948;15
10;24.06.1948;1948;10.8
12.5;24.06.1948;1948;8.8
15;24.06.1948;1948;7.3
20;24.06.1948;1948;6.9
25;24.06.1948;1948;6.2
30;24.06.1948;1948;6
0;17.03.1949;1949;3.5
2.5;17.03.1949;1949;3.5
5;17.03.1949;1949;3.5
7.5;17.03.1949;1949;3.5
10;17.03.1949;1949;3.5
15;17.03.1949;1949;3.6
20;17.03.1949;1949;3.6
25;17.03.1949;1949;3.6
30;17.03.1949;1949;3.6
0;30.03.1949;1949;6.8
2.5;30.03.1949;1949;6.5
5;30.03.1949;1949;4.6
7.5;30.03.1949;1949;4.5
10;30.03.1949;1949;4.4
15;30.03.1949;1949;4.4
20;30.03.1949;1949;4.4
25;30.03.1949;1949;4.2
30;30.03.1949;1949;4.2
0;20.04.1949;1949;15.4
2.5;20.04.1949;1949;8.5
5;20.04.1949;1949;8.1
7.5;20.04.1949;1949;6.7
10;20.04.1949;1949;5.7
15;20.04.1949;1949;5.6
20;20.04.1949;1949;5.4
25;20.04.1949;1949;5.3
30;20.04.1949;1949;5.1
0;31.05.1949;1949;16
2.5;31.05.1949;1949;16
5;31.05.1949;1949;10.1
7.5;31.05.1949;1949;8.9
10;31.05.1949;1949;7.2
12.5;31.05.1949;1949;6.7
15;31.05.1949;1949;6.3
20;31.05.1949;1949;5.9
25;31.05.1949;1949;5.5
30;31.05.1949;1949;5.4
0;08.07.1949;1949;21.6
2.5;08.07.1949;1949;21.3
5;08.07.1949;1949;21.4
7.5;08.07.1949;1949;12
10;08.07.1949;1949;9.7
12.5;08.07.1949;1949;7.3
15;08.07.1949;1949;6.7
20;08.07.1949;1949;6.7
25;08.07.1949;1949;5.9
30;08.07.1949;1949;5.9
0;20.07.1949;1949;21.6
2.5;20.07.1949;1949;21.5
5;20.07.1949;1949;21.4
7.5;20.07.1949;1949;11.6
10;20.07.1949;1949;8.4
12.5;20.07.1949;1949;7.1
15;20.07.1949;1949;6.5
20;20.07.1949;1949;6
25;20.07.1949;1949;5.8
30;20.07.1949;1949;5.5
0;26.08.1949;1949;21
2.5;26.08.1949;1949;20.8
5;26.08.1949;1949;20.3
7.5;26.08.1949;1949;15.2
10;26.08.1949;1949;9.4
12.5;26.08.1949;1949;7.6
15;26.08.1949;1949;6.6
20;26.08.1949;1949;6.3
25;26.08.1949;1949;6.3
30;26.08.1949;1949;5.7
0;22.09.1949;1949;19.7
2.5;22.09.1949;1949;19.4
5;22.09.1949;1949;19.4
7.5;22.09.1949;1949;15
10;22.09.1949;1949;9.8
12.5;22.09.1949;1949;7.5
15;22.09.1949;1949;6.9
20;22.09.1949;1949;6.4
25;22.09.1949;1949;6.2
