date type mlg count percent rank common
2007-10-10 Random 280 8 0.25 1 yes
2007-10-10 Random 430 5 0.15625 2 yes
2010-08-10 Random 127 8 0.108108108108108 1 yes
2010-08-10 Random 698 8 0.108108108108108 1 yes
2010-08-10 Random 32 7 0.0945945945945946 2 yes
2011-08-11 Random 495 18 0.225 1 yes
2011-08-11 Random 252 11 0.1375 2 yes
2011-09-13 Random 155 22 0.282051282051282 1 yes
2011-10-27 Random 370 29 0.3625 1 yes
2011-10-27 Random 805 10 0.125 2 yes
2012-09-06 Random 635 6 0.1875 1 yes
2012-09-06 Random 250 5 0.15625 2 yes
2013-08-29 Random 64 33 0.192982456140351 1 yes
2013-08-29 Random 276 16 0.0935672514619883 2 yes
2013-08-29 Random 659 16 0.0935672514619883 2 yes
